Autoras,Año de nacimiento,Lugar de nacimiento,Premio recibido,Primera publicación,Número de publicaciones,Editorial
González Matute Ana Rosa,,,,,,
Graf Beatriz,,,,,,
Granados Verónica,,,,,,
Grijalva Dina,,,,,,
Guerra Amalia,,,,,,
Guerrero Guadalupe,,,,,,
Guevara del Ángel Itzel,,,,,,
Guillén Claudia,,,,,,
Guillén Clara del Carmen,,,,,,
Gutiérrez Cristina,,,,,,
Gutiérrez Marisol,,,,,,
Gutiérrez Lucía Reyna,,,,,,
Gutiérrez Gris,,,,,,
Gutiérrez Didí,,,,,,
Guzmán Rosa Eugenia,,,,,,
Guzmán Daniela L.,,,,,,
Hadaza Débora,,,,,,
Harmony Olga,,,,,,
Haro Adriana,,,,,,
Hatfield Elia,,,,,,
Hernández Alejandra,,,,,,
Hernández Berenice,,,,,,
Hernández Iliana,,,,,,
Hernández Virginia,,,,,,
Hernández Jessica Anaid,,,,,,
Hernández Camargo Julieta,,,,,,
Hernández Reta Virginia,,,,,,
Hernández Rodríguez Ilallalí,,,,,,
Hernández Sadurní Laura,,,,,,
Herrera Marina,,,,,,
Herrera Bautista Elsa,,,,,,
Hidalgo María Luisa,,,,,,
Hiriart Berta,,,,,,
Hoyos Guzmán Raquel,,,,,,
Huacuja del Toro Malú,,,,,,
Huicochea Macarena,,,,,,
Ibáñez Iglesias Ulalume Sara,,,,,,
Inclán Alejandra,,,,,,
Inzunza Mayra,,,,,,
Iribe Zenil Mariel,,,,,,
Isita Georgina,,,,,,
Iturralde y Vargas Mayra,,,,,,
Izquierdo de Albiñana Asunción,,,,,,
Jacobs Bárbara,,,,,,
Jacobson Bertha,,,,,,
Jáuregui Gabriela,,,,,,
Jiménez Adriana,,,,,,
Jiménez Sara,,,,,,
Jiménez Guzmán Lilia,,,,,,
Jonguitud Paulette,,,,,,
Jufresa Laia,,,,,,
Kaiser Nuria,,,,,,
Krauze Ethel,,,,,,
Labrada Angélica,,,,,,
Lago Yhared,,,,,,
Laguarda Lourdes,,,,,,
Lama Ramírez Samantha Ivana,,,,,,
Lanz Irene G. de,,,,,,
Lastra Kassandra,,,,,,
Laurent Kullick Patricia,,,,,,
Lavín Mónica,,,,,,
Lazo Norma,,,,,,
León Alisma de,,,,,,
Leos Villasana Merari,,,,,,
Levy Elsa,,,,,,
Levy Vázquez Ruth,,,,,,
Leyva Virginia,,,,,,
Liceaga Elvira,,,,,,
Linares Palacios Laura,,,,,,
Llach Leonor,,,,,,
Lombardo de Caso María,,,,,,
López Magdalena,,,,,,
López Camberos Lilián,,,,,,
López de Llarena Elsa,,,,,,
López Gándara Angélica,,,,,,
López Herrejón Carolina,,,,,,
López Sosa Aída María,,,,,,
López Suárez Norma,,,,,,
López-Portillo Margarita,,,,,,
Lozano Brenda,,,,,,
Lugo Rocío Violeta R.,,,,,,
Luna Aída,,,,,,
Luna Mayra,,,,,,
Luna Carolina,,,,,,
Luna Rosa Luz de,,,,,,
Mabarak Magda,,,,,,
Macedo Odilón Carmen,,,,,,
Macías Marisabel,,,,,,
Madrigal Laura,,,,,,
Madrigal Elena,,,,,,
Magaña Cecilia,,,,,,
Magdaleno Marcela,,,,,,
Maldonado Leticia,,,,,,
Mancilla Alma,,,,,,
Mancilla Amador Angélica,,,,,,
Manero Mercedes,,,,,,
Manríquez Montoya Lucía,,,,,,
Mansour Mónica,,,,,,
Mantecón Guadalupe G. de,,,,,,
Manzano Lorel,,,,,,
Mares Alicia,,,,,,
Margalli Aglae,,,,,,
Márquez Velia,,,,,,
Martín de Álvarez Cristina,,,,,,
Martín del Campo Rosalía,,,,,,
Martínez Blanca,,,,,,
Martínez Rosario,,,,,,
Martínez Miriam Mabel,,,,,,
Martínez Ghada,,,,,,
Martínez Madeline,,,,,,
Martínez Casas Ana,,,,,,
Martínez de Castro M. Belén N.,,,,,,
Martínez Huchim Ana Patricia,,,,,,
Martínez Morón Nylsa,,,,,,
Martínez Ortega Judith,,,,,,
Martínez Robles María Teresa,,,,,,
Martínez Terán Teresa,,,,,,
Mastretta Ángeles,,,,,,
Mata Rebeca,,,,,,
Matías Rendón Ana,,,,,,
May Peña Lucila,,,,,,
May Peña María Lucila,,,,,,
Mecalco Azucena,,,,,,
Mejía Sandoval Verónica,,,,,,
Meléndez Granados Juana,,,,,,
Melero Pilar,,,,,,
Melo de Remes María Luisa,,,,,,
Méndez Elena,,,,,,
Méndez de Cuenca Laura,,,,,,
Mendieta Alatorre Ángeles,,,,,,
Mendoza María Luisa,,,,,,
Mendoza Álvarez María Elena,,,,,,
Mendoza Cano Lucía,,,,,,
Mendoza López Irma,,,,,,
Mendoza López Margarita,,,,,,
Mercado Sofía,,,,,,
Mergruen Érika,,,,,,
Merino María Eugenia,,,,,,
Meyer Beatriz,,,,,,
Meza María Cristina,,,,,,
Michel Inés M.,,,,,,
Molina Silvia,,,,,,
Moncayo Elena G.,,,,,,
Mondragón Adriana,,,,,,
Monserrat Magaly,,,,,,
Montaño Peralta Enriqueta,,,,,,
Montelongo Alejandra R.,,,,,,
Montelongo Olivia de,,,,,,
Monterrubio Amaranta,,,,,,
Montes de Oca Luz María,,,,,,
Montijo Irene,,,,,,
Morales Gemma,,,,,,
Morales Claudia,,,,,,
Morales Gasca Fabiola,,,,,,
Morales Grajales María Lourdes,,,,,,
Morales Pineda Nitzhui,,,,,,
Morán del Castillo Hilda,,,,,,
Moreno Hortensia,,,,,,
Moreno-Garcia Silvia,,,,,,
Mosqueda Raquel,,,,,,
Moya Luna Francisca,,,,,,
Muñiz-Huberman Angelina,,,,,,
Muñoz Teresa,,,,,,
Murguía Verónica,,,,,,
Murillo Alma Delia,,,,,,
Muro Marisol,,,,,,
Nájera María Esther,,,,,,
Natera Yolanda,,,,,,
Nava Clara,,,,,,
Nava de Ruisánchez Julia,,,,,,
Navagómez Queta,,,,,,
Nettel Guadalupe,,,,,,
Nissán Rosa,,,,,,
Noriega González Martha Beatriz,,,,,,
Nájera María Esther,,,,,,
Natera Yolanda,,,,,,
Nava Clara,,,,,,
Nava de Ruisánchez Julia,,,,,,
Navagómez Queta,,,,,,
Nettel Guadalupe,,,,,,
Nissán Rosa,,,,,,
Noriega González Martha Beatriz,,,,,,
O'Neill Carlota,,,,,,
Ocampo Cintya,,,,,,
Ochoa Rosa Margot,,,,,,
Ochoa Edna,,,,,,
Ochoa Sidharta,,,,,,
Ochoa Salud,,,,,,
Ochoa Sandoval Eglantina,,,,,,
Odio Eunice,,,,,,
Olaiz Amélie,,,,,,
Olalde Guadalupe,,,,,,
Olguín Fernanda,,,,,,
Olguín Mejía María Eugenia,,,,,,
Oliver Laura,,,,,,
Olivera Lagunes Xóchitl,,,,,,
Orli Magnolia,,,,,,
Oropeza Margarita,,,,,,
Orozco Sabina,,,,,,
Orozco Mora Rebeca,,,,,,
Ortega Marxitania,,,,,,
Ortega Ruiz María Elena,,,,,,
Ortiz Lorena,,,,,,
Ortiz Angulo Ana,,,,,,
Ortiz Encarnación Karla Patricia,,,,,,
Ortiz Espinoza Ángeles,,,,,,
Ortiz Marin María del Rosario,,,,,,
Ortuño de Aguiñaga María Esther,,,,,,
Osorio Lilia,,,,,,
Osorio Gumá Mariana,,,,,,
Ostrosky Jennie,,,,,,
Otero Corazón,,,,,,
Otero María Luisa,,,,,,
Oviedo Mota Rosalinda Susana,,,,,,
Pablos Cecilia,,,,,,
Pacheco Liana,,,,,,
Pacheco Martínez Ruth,,,,,,
Palacios Adela,,,,,,
Palacios Prado Mónica,,,,,,
Palacios Rojas Berónica,,,,,,
Paláu Rosy,,,,,,
Palau Teresa,,,,,,
Pando Marilú,,,,,,
Pantoja Libertad,,,,,,
Parada Martha,,,,,,
Pardo Edmée,,,,,,
Párraga de Bonales Eloísa,,,,,,
Pauwells Inga,,,,,,
Pazos Ana Laura,,,,,,
Pedroza Liliana,,,,,,
Pellerito Alma M.,,,,,,
Peña Margarita,,,,,,
Peña Gabriela de la,,,,,,
Perales Francia,,,,,,
Peralta Elda,,,,,,
Peraza Melly,,,,,,
Perches Gabriela del C.,,,,,,
Perdomo María Teresa,,,,,,
Peredo Ximena,,,,,,
Pérez Aguirre Ruth,,,,,,
Pérez de León María Herminia,,,,,,
Perezcano de Jiménez Arrillaga Josefina,,,,,,
Petrich Perla,,,,,,
Pettersson Aline,,,,,,
Pineda Adriana,,,,,,
Plata Tania,,,,,,
Plaza Dolores,,,,,,
Ponce de la Vega Tere,,,,,,
Poniatowska Elena,,,,,,
Pons Matilda,,,,,,
Posas Abril,,,,,,
Priego María Teresa,,,,,,
Prieto Marina M.,,,,,,
Puente Valdés Yolanda,,,,,,
Puga María Luisa,,,,,,
Puyhol Lénica,,,,,,
Quezada Silvia,,,,,,
Quinamor Talía E.,,,,,,
Quintanar Carla Patricia,,,,,,
Ramírez Concepción,,,,,,
Ramírez Katalina,,,,,,
Ramírez Sofía,,,,,,
Ramírez Martha J.,,,,,,
Ramírez García Selene Carolina,,,,,,
Ramírez Luna Diana,,,,,,
Ramírez Maldonado María Gabriela,,,,,,
Ramos Marcia,,,,,,
Ramos Domínguez Graciela,,,,,,
Rangel Matilde,,,,,,
Rangel Alejandra,,,,,,
Rascón Castro Cristina,,,,,,
Reina Claudia,,,,,,
Remus María Cristina,,,,,,
Rendón Leda,,,,,,
Rergis Mariana,,,,,,
Revueltas Eugenia,,,,,,
Reyes María Auxilio,,,,,,
Reyes Alicia,,,,,,
Reyes Sauri Josefina,,,,,,
Richkarday Patricia,,,,,,
Río Guadalupe del,,,,,,
Río Marcela del,,,,,,
Rivas Laura,,,,,,
Rivera Garza Cristina,,,,,,
Riveros Elizondo Gabriela,,,,,,
Robles Ana Alejandra,,,,,,
Robles Aragón Antonia,,,,,,
